UniProt_Id                                                                                          ,Gene_Symbol                                                                                         ,Protein_Name                                                                                                                                                                                                                                                    ,Gene_Names                                                                                                                                                                                                                                                      ,Accession                                         ,PsmSum     ,MeanPsm             ,PsmPresent ,PctPresent          
Q14202                                                                                              ,ZMYM3                                                                                               ,Zinc finger MYM-type protein 3                                                                                                                                                                                                                                  ,ZMYM3                                                                                                                                                                                                                                                           ,Q14202                                            ,         46,                 .15,         36,               11.58
Q08554                                                                                              ,DSC1                                                                                                ,Desmocollin-1                                                                                                                                                                                                                                                   ,DSC1                                                                                                                                                                                                                                                            ,Q08554                                            ,         97,                 .31,         35,               11.25
P46531                                                                                              ,NOTC1                                                                                               ,Neurogenic locus notch homolog protein 1                                                                                                                                                                                                                        ,NOTCH1                                                                                                                                                                                                                                                          ,P46531                                            ,         44,                 .14,         35,               11.25
Q8IXW5                                                                                              ,RPAP2                                                                                               ,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2                                                                                                                                                                                                     ,RPAP2                                                                                                                                                                                                                                                           ,Q8IXW5                                            ,         60,                 .19,         35,               11.25
Q5XX13                                                                                              ,FBW10                                                                                               ,F-box/WD repeat-containing protein 10                                                                                                                                                                                                                           ,FBXW10                                                                                                                                                                                                                                                          ,Q5XX13                                            ,         41,                 .13,         35,               11.25
Q6SZW1                                                                                              ,SARM1                                                                                               ,NAD(+) hydrolase SARM1                                                                                                                                                                                                                                          ,SARM1                                                                                                                                                                                                                                                           ,Q6SZW1                                            ,         51,                 .16,         35,               11.25
P00739                                                                                              ,HPTR                                                                                                ,Haptoglobin-related protein                                                                                                                                                                                                                                     ,HPR                                                                                                                                                                                                                                                             ,P00739                                            ,       1026,                3.30,         35,               11.25
O75976                                                                                              ,CBPD                                                                                                ,Carboxypeptidase D                                                                                                                                                                                                                                              ,CPD                                                                                                                                                                                                                                                             ,O75976                                            ,         41,                 .13,         35,               11.25
O94813                                                                                              ,SLIT2                                                                                               ,Slit homolog 2 protein                                                                                                                                                                                                                                          ,SLIT2                                                                                                                                                                                                                                                           ,O94813                                            ,         41,                 .13,         35,               11.25
Q9NYQ7                                                                                              ,CELR3                                                                                               ,Cadherin EGF LAG seven-pass G-type receptor 3                                                                                                                                                                                                                   ,CELSR3                                                                                                                                                                                                                                                          ,Q9NYQ7                                            ,         39,                 .13,         35,               11.25
Q8N9C0                                                                                              ,IGS22                                                                                               ,Immunoglobulin superfamily member 22                                                                                                                                                                                                                            ,IGSF22                                                                                                                                                                                                                                                          ,Q8N9C0                                            ,         42,                 .14,         35,               11.25
Q8TE73                                                                                              ,DYH5                                                                                                ,Dynein axonemal heavy chain 5                                                                                                                                                                                                                                   ,DNAH5                                                                                                                                                                                                                                                           ,Q8TE73                                            ,         50,                 .16,         35,               11.25
Q92736                                                                                              ,RYR2                                                                                                ,Ryanodine receptor 2                                                                                                                                                                                                                                            ,RYR2                                                                                                                                                                                                                                                            ,Q92736                                            ,         39,                 .13,         35,               11.25
Q96Q91                                                                                              ,B3A4                                                                                                ,Anion exchange protein 4                                                                                                                                                                                                                                        ,SLC4A9                                                                                                                                                                                                                                                          ,Q96Q91                                            ,         39,                 .13,         35,               11.25
Q96M69                                                                                              ,LRGUK                                                                                               ,Leucine-rich repeat and guanylate kinase domain-containing protein                                                                                                                                                                                              ,LRGUK                                                                                                                                                                                                                                                           ,Q96M69                                            ,         45,                 .14,         35,               11.25
Q96Q15                                                                                              ,SMG1                                                                                                ,Serine/threonine-protein kinase SMG1                                                                                                                                                                                                                            ,SMG1                                                                                                                                                                                                                                                            ,Q96Q15                                            ,         37,                 .12,         34,               10.93
Q8TDX9                                                                                              ,PK1L1                                                                                               ,Polycystic kidney disease protein 1-like 1                                                                                                                                                                                                                      ,PKD1L1                                                                                                                                                                                                                                                          ,Q8TDX9                                            ,         44,                 .14,         34,               10.93
Q8NA47                                                                                              ,CCD63                                                                                               ,Coiled-coil domain-containing protein 63                                                                                                                                                                                                                        ,CCDC63                                                                                                                                                                                                                                                          ,Q8NA47                                            ,         39,                 .13,         34,               10.93
Q8NEZ4                                                                                              ,KMT2C                                                                                               ,Histone-lysine N-methyltransferase 2C                                                                                                                                                                                                                           ,KMT2C                                                                                                                                                                                                                                                           ,Q8NEZ4                                            ,         37,                 .12,         34,               10.93
Q9NZR2                                                                                              ,LRP1B                                                                                               ,Low-density lipoprotein receptor-related protein 1B                                                                                                                                                                                                             ,LRP1B                                                                                                                                                                                                                                                           ,Q9NZR2                                            ,         38,                 .12,         34,               10.93
Q9UQE7                                                                                              ,SMC3                                                                                                ,Structural maintenance of chromosomes protein 3                                                                                                                                                                                                                 ,SMC3                                                                                                                                                                                                                                                            ,Q9UQE7                                            ,         58,                 .19,         34,               10.93
O75881                                                                                              ,CP7B1                                                                                               ,Cytochrome P450 7B1                                                                                                                                                                                                                                             ,CYP7B1                                                                                                                                                                                                                                                          ,O75881                                            ,         42,                 .14,         34,               10.93
B0I1T2                                                                                              ,MYO1G                                                                                               ,Unconventional myosin-Ig                                                                                                                                                                                                                                        ,MYO1G                                                                                                                                                                                                                                                           ,B0I1T2                                            ,         37,                 .12,         34,               10.93
P22680                                                                                              ,CP7A1                                                                                               ,Cytochrome P450 7A1                                                                                                                                                                                                                                             ,CYP7A1                                                                                                                                                                                                                                                          ,P22680                                            ,         50,                 .16,         34,               10.93
P15924                                                                                              ,DESP                                                                                                ,Desmoplakin                                                                                                                                                                                                                                                     ,DSP                                                                                                                                                                                                                                                             ,P15924                                            ,        749,                2.41,         34,               10.93
Q69YN4                                                                                              ,VIR                                                                                                 ,Protein virilizer homolog                                                                                                                                                                                                                                       ,VIRMA                                                                                                                                                                                                                                                           ,Q69YN4                                            ,         39,                 .13,         34,               10.93
Q04671                                                                                              ,P                                                                                                   ,P protein                                                                                                                                                                                                                                                       ,OCA2                                                                                                                                                                                                                                                            ,Q04671                                            ,         47,                 .15,         34,               10.93
Q12933                                                                                              ,TRAF2                                                                                               ,TNF receptor-associated factor 2                                                                                                                                                                                                                                ,TRAF2                                                                                                                                                                                                                                                           ,Q12933                                            ,         41,                 .13,         34,               10.93
Q12768                                                                                              ,WASC5                                                                                               ,WASH complex subunit 5                                                                                                                                                                                                                                          ,WASHC5                                                                                                                                                                                                                                                          ,Q12768                                            ,         41,                 .13,         33,               10.61
Q15050                                                                                              ,RRS1                                                                                                ,Ribosome biogenesis regulatory protein homolog                                                                                                                                                                                                                  ,RRS1                                                                                                                                                                                                                                                            ,Q15050                                            ,         41,                 .13,         33,               10.61
P42685                                                                                              ,FRK                                                                                                 ,Tyrosine-protein kinase FRK                                                                                                                                                                                                                                     ,FRK                                                                                                                                                                                                                                                             ,P42685                                            ,         41,                 .13,         33,               10.61
P42858                                                                                              ,HD                                                                                                  ,Huntingtin                                                                                                                                                                                                                                                      ,HTT                                                                                                                                                                                                                                                             ,P42858                                            ,         37,                 .12,         33,               10.61
P46013                                                                                              ,KI67                                                                                                ,Proliferation marker protein Ki-67                                                                                                                                                                                                                              ,MKI67                                                                                                                                                                                                                                                           ,P46013                                            ,         39,                 .13,         33,               10.61
P55265                                                                                              ,DSRAD                                                                                               ,Double-stranded RNA-specific adenosine deaminase                                                                                                                                                                                                                ,ADAR                                                                                                                                                                                                                                                            ,P55265                                            ,         66,                 .21,         33,               10.61
Q6NSW5                                                                                              ,DE10B                                                                                               ,Putative DENN domain-containing protein 10 B                                                                                                                                                                                                                    ,DENND10P1                                                                                                                                                                                                                                                       ,Q6NSW5                                            ,         39,                 .13,         33,               10.61
Q6ZMR3                                                                                              ,LDH6A                                                                                               ,L-lactate dehydrogenase A-like 6A                                                                                                                                                                                                                               ,LDHAL6A                                                                                                                                                                                                                                                         ,Q6ZMR3                                            ,         34,                 .11,         33,               10.61
Q6ZU52                                                                                              ,K0408                                                                                               ,Uncharacterized protein KIAA0408                                                                                                                                                                                                                                ,KIAA0408                                                                                                                                                                                                                                                        ,Q6ZU52                                            ,         54,                 .17,         33,               10.61
Q5KU26                                                                                              ,COL12                                                                                               ,Collectin-12                                                                                                                                                                                                                                                    ,COLEC12                                                                                                                                                                                                                                                         ,Q5KU26                                            ,         40,                 .13,         33,               10.61
Q8IUG5                                                                                              ,MY18B                                                                                               ,Unconventional myosin-XVIIIb                                                                                                                                                                                                                                    ,MYO18B                                                                                                                                                                                                                                                          ,Q8IUG5                                            ,         39,                 .13,         33,               10.61
Q8N1C3                                                                                              ,GBRG1                                                                                               ,Gamma-aminobutyric acid receptor subunit gamma-1                                                                                                                                                                                                                ,GABRG1                                                                                                                                                                                                                                                          ,Q8N1C3                                            ,         44,                 .14,         33,               10.61
Q7Z3V4                                                                                              ,UBE3B                                                                                               ,Ubiquitin-protein ligase E3B                                                                                                                                                                                                                                    ,UBE3B                                                                                                                                                                                                                                                           ,Q7Z3V4                                            ,        278,                 .89,         33,               10.61
Q7Z6G3                                                                                              ,NECA2                                                                                               ,N-terminal EF-hand calcium-binding protein 2                                                                                                                                                                                                                    ,NECAB2                                                                                                                                                                                                                                                          ,Q7Z6G3                                            ,         43,                 .14,         33,               10.61
P15822                                                                                              ,ZEP1                                                                                                ,Zinc finger protein 40                                                                                                                                                                                                                                          ,HIVEP1                                                                                                                                                                                                                                                          ,P15822                                            ,         35,                 .11,         33,               10.61
P10253                                                                                              ,LYAG                                                                                                ,Lysosomal alpha-glucosidase                                                                                                                                                                                                                                     ,GAA                                                                                                                                                                                                                                                             ,P10253                                            ,         37,                 .12,         33,               10.61
P25391                                                                                              ,LAMA1                                                                                               ,Laminin subunit alpha-1                                                                                                                                                                                                                                         ,LAMA1                                                                                                                                                                                                                                                           ,P25391                                            ,         37,                 .12,         33,               10.61
P03973                                                                                              ,SLPI                                                                                                ,Antileukoproteinase                                                                                                                                                                                                                                             ,SLPI                                                                                                                                                                                                                                                            ,P03973                                            ,         34,                 .11,         33,               10.61
A6NNM8                                                                                              ,TTL13                                                                                               ,Tubulin polyglutamylase TTLL13P                                                                                                                                                                                                                                 ,TTLL13P                                                                                                                                                                                                                                                         ,A6NNM8                                            ,         47,                 .15,         33,               10.61
A0A0B4J1V0                                                                                          ,HV315                                                                                               ,Immunoglobulin heavy variable 3-15                                                                                                                                                                                                                              ,IGHV3-15                                                                                                                                                                                                                                                        ,A0A0B4J1V0                                        ,         37,                 .12,         33,               10.61
O43638                                                                                              ,FOXS1                                                                                               ,Forkhead box protein S1                                                                                                                                                                                                                                         ,FOXS1                                                                                                                                                                                                                                                           ,O43638                                            ,         41,                 .13,         33,               10.61
O75602                                                                                              ,SPAG6                                                                                               ,Sperm-associated antigen 6                                                                                                                                                                                                                                      ,SPAG6                                                                                                                                                                                                                                                           ,O75602                                            ,         41,                 .13,         33,               10.61
O95622                                                                                              ,ADCY5                                                                                               ,Adenylate cyclase type 5                                                                                                                                                                                                                                        ,ADCY5                                                                                                                                                                                                                                                           ,O95622                                            ,         49,                 .16,         33,               10.61
O95996                                                                                              ,APCL                                                                                                ,Adenomatous polyposis coli protein 2                                                                                                                                                                                                                            ,APC2                                                                                                                                                                                                                                                            ,O95996                                            ,         42,                 .14,         33,               10.61
Q9P0X4                                                                                              ,CAC1I                                                                                               ,Voltage-dependent T-type calcium channel subunit alpha-1I                                                                                                                                                                                                       ,CACNA1I                                                                                                                                                                                                                                                         ,Q9P0X4                                            ,         41,                 .13,         33,               10.61
Q9UBY0                                                                                              ,SL9A2                                                                                               ,Sodium/hydrogen exchanger 2                                                                                                                                                                                                                                     ,SLC9A2                                                                                                                                                                                                                                                          ,Q9UBY0                                            ,         35,                 .11,         33,               10.61
