UniProt_Id                                                                                          ,Gene_Symbol                                                                                         ,Protein_Name                                                                                                                                                                                                                                                    ,Gene_Names                                                                                                                                                                                                                                                      ,Accession                                         ,PsmSum     ,MeanPsm             ,PsmPresent ,PctPresent          
Q92743                                                                                              ,HTRA1                                                                                               ,Serine protease HTRA1                                                                                                                                                                                                                                           ,HTRA1                                                                                                                                                                                                                                                           ,Q92743                                            ,        115,                 .37,         94,               30.23
P07320                                                                                              ,CRGD                                                                                                ,Gamma-crystallin D                                                                                                                                                                                                                                              ,CRYGD                                                                                                                                                                                                                                                           ,P07320                                            ,        368,                1.18,         93,               29.90
P21817                                                                                              ,RYR1                                                                                                ,Ryanodine receptor 1                                                                                                                                                                                                                                            ,RYR1                                                                                                                                                                                                                                                            ,P21817                                            ,        189,                 .61,         93,               29.90
P27797                                                                                              ,CALR                                                                                                ,Calreticulin                                                                                                                                                                                                                                                    ,CALR                                                                                                                                                                                                                                                            ,P27797                                            ,        130,                 .42,         92,               29.58
P05408                                                                                              ,7B2                                                                                                 ,Neuroendocrine protein 7B2                                                                                                                                                                                                                                      ,SCG5                                                                                                                                                                                                                                                            ,P05408                                            ,        205,                 .66,         92,               29.58
Q5MNV8                                                                                              ,FBX47                                                                                               ,F-box only protein 47                                                                                                                                                                                                                                           ,FBXO47                                                                                                                                                                                                                                                          ,Q5MNV8                                            ,        182,                 .59,         92,               29.58
Q9GZV5                                                                                              ,WWTR1                                                                                               ,WW domain-containing transcription regulator protein 1                                                                                                                                                                                                          ,WWTR1                                                                                                                                                                                                                                                           ,Q9GZV5                                            ,        219,                 .70,         92,               29.58
P22304                                                                                              ,IDS                                                                                                 ,Iduronate 2-sulfatase                                                                                                                                                                                                                                           ,IDS                                                                                                                                                                                                                                                             ,P22304                                            ,        149,                 .48,         91,               29.26
P16070                                                                                              ,CD44                                                                                                ,CD44 antigen                                                                                                                                                                                                                                                    ,CD44                                                                                                                                                                                                                                                            ,P16070                                            ,        119,                 .38,         91,               29.26
A0A0B4J2D9                                                                                          ,KVD13                                                                                               ,Immunoglobulin kappa variable 1D-13                                                                                                                                                                                                                             ,IGKV1D-13                                                                                                                                                                                                                                                       ,A0A0B4J2D9                                        ,        210,                 .68,         91,               29.26
P20929                                                                                              ,NEBU                                                                                                ,Nebulin                                                                                                                                                                                                                                                         ,NEB                                                                                                                                                                                                                                                             ,P20929                                            ,        120,                 .39,         90,               28.94
P13987                                                                                              ,CD59                                                                                                ,CD59 glycoprotein                                                                                                                                                                                                                                               ,CD59                                                                                                                                                                                                                                                            ,P13987                                            ,        119,                 .38,         90,               28.94
Q5VST9                                                                                              ,OBSCN                                                                                               ,Obscurin                                                                                                                                                                                                                                                        ,OBSCN                                                                                                                                                                                                                                                           ,Q5VST9                                            ,        121,                 .39,         90,               28.94
Q96C92                                                                                              ,ENTR1                                                                                               ,Endosome-associated-trafficking regulator 1                                                                                                                                                                                                                     ,ENTR1                                                                                                                                                                                                                                                           ,Q96C92                                            ,        144,                 .46,         90,               28.94
Q9GZZ9                                                                                              ,UBA5                                                                                                ,Ubiquitin-like modifier-activating enzyme 5                                                                                                                                                                                                                     ,UBA5                                                                                                                                                                                                                                                            ,Q9GZZ9                                            ,        131,                 .42,         89,               28.62
A6NJL1                                                                                              ,ZSA5B                                                                                               ,Zinc finger and SCAN domain-containing protein 5B                                                                                                                                                                                                               ,ZSCAN5B                                                                                                                                                                                                                                                         ,A6NJL1                                            ,        123,                 .40,         89,               28.62
